A    ,    B    ,    C    ,    D    ,    
0    ,    0    ,    0    ,    0    ,          Q: 0

0    ,    0    ,    1    ,    0    ,          Q: 0

0    ,    1    ,    0    ,    0    ,          Q: 0

0    ,    1    ,    1    ,    0    ,          Q: 0

1    ,    0    ,    0    ,    0    ,          Q: 0

1    ,    0    ,    1    ,    0    ,          Q: 0

1    ,    1    ,    0    ,    0    ,          Q: 0

1    ,    1    ,    1    ,    0    ,          Q: 0

0    ,    0    ,    0    ,    1    ,          Q: 0

0    ,    0    ,    1    ,    1    ,          Q: 1

0    ,    1    ,    0    ,    1    ,          Q: 1

0    ,    1    ,    1    ,    1    ,          Q: 1

1    ,    0    ,    0    ,    1    ,          Q: 1

1    ,    0    ,    1    ,    1    ,          Q: 0

1    ,    1    ,    0    ,    1    ,          Q: 1

1    ,    1    ,    1    ,    1    ,          Q: 1
